course_code,chunk
BIOM*4180,"(1 of BIOM*3010, HK*3401, HK*3501, ZOO*2090)"
BIOM*4300,"14.00 credits including BIOL*1080, STAT*2040"
BIOM*4500,12.00 credits
BIOM*4510,14.00 credits
BIOM*4521,14.00 credits
BLCK*2000,2.00 credits
BOT*2100,2 of BIOL*1050
BOT*3050,7.50 credits including BIOL*1070
BOT*3410,2 of BIOL*1070
BOT*3710,7.50 credits including BIOL*1070
BUS*4550,10.00 credits
BUS*6510,BUS*6320 Minimum grade 065
BADM*2000,2.00 credits
BADM*2030,"5.00 credits, BADM*1040 or MDST*1200"
BADM*2040,"5.00 credits, BADM*1040"
BADM*2050,"5.00 credits, including BADM*1100"
BADM*2060,"5.00 credits, SCMA*1000"
BADM*3000,"5.00 credits, [BADM*1050 or (BADM*1030, BADM*1060)]"
BADM*3040,"10.00 credits including: AHSS*1000, AHSS*1010, BADM*3160"
BADM*3060,7.50 credits including: BADM*1010
BADM*3100,"10.00 credits including (BADM*1100, BADM*3210)"
BADM*3110,7.50 credits
BADM*3140,"10.00 credits including: AHSS*1000, AHSS*1010, BADM*3000"
BADM*3200,7.50 credits including: AHSS*1010
BADM*3210,"10.00 credits, including BADM*1100"
CHEM*1040,4U Chemistry (or equivalent)
CHEM*1140,4U Chemistry (or equivalent)
CHEM*2060,"[IPS*1500 or (MATH*1080 or MATH*1200), (1 of PHYS*1010, PHYS*1070, PHYS*1300)]"
CHEM*2820,"(1 of IPS*1510, MATH*1090, MATH*1210, MATH*2080)"
CHEM*2880,"(1 of IPS*1500, MATH*1080, MATH*1200)"
CHEM*4900,"5.00 credits in chemistry including 3 of CHEM*3430, CHEM*3640, CHEM*3650, CHEM*3750, CHEM*3760, CHEM*3860, CHEM*3870, CHEM*4020, NANO*3800"
CLAS*2220,2.00 credits
CLAS*3020,1 of CLAS*1000
CLAS*3300,"[LAT*2000, (1 of CLAS*2350, CLAS*3010, CLAS*3100, CLAS*4000)]"
CLAS*3300,"or [GREK*2020, (1 of CLAS*3000, CLAS*3020, CLAS*3030, CLAS*3040)]"
CLAS*3500,1 of CLAS*1000
CLAS*3700,10.00 credits including 1.50 credits in Classics
CLAS*3900,One of CLAS*1000
CLAS*4150,1.50 credits in Classical Studies courses at the 3000 level
CLAS*4400,1.50 credits in Classical Studies at the 3000 level
CLAS*4990,1.50 credits in Classical Studies at the 3000 level
CSS*2010,3.00 credits including (CSS*1010 or FCSS*1010)
CSS*2020,3.00 credits including: (CSS*1020 or FCSS*1020)
CSS*2030,"3.00 credits, CSS*1000 or FCSS*1000"
CSS*2040,1 of CSS*2000
CSS*2050,1 of CSS*2020
CSS*2060,1 of CSS*2000
CSS*2070,3.00 credits including (CSS*1020 or FCSS*1020)
CSS*2080,3.00 credits
CSS*2090,5.00 credits
CSS*3010,5.00 credits
CSS*3020,7.50 credits
CSS*3040,"(1 of CSS*2000, CSS*2070, FCSS*2000 or FCSS*2070)"
CSS*3060,7.50 credits
CSS*3100,7.50 credits
CSS*4000,12.50 credits including: (AHSS*2090 or CSS*2090)
CSS*4010,12.50 credits
CSS*4030,12.50 credits
CSS*4040,12.50 credits
CSS*4050,"15.00 credits including CSS*1020, CSS*1030, CSS*2060"
CIS*2170,1 of CIS*1200
CIS*2520,"(1 of CIS*1910, ENGG*1500, MATH*2000)"
CIS*3190,CIS*2500 or work experience in a related field
CIS*3490,[CIS*1910 or (CIS*2910 and ENGG*1500)]
CIS*3750,"9.00 credits including CIS*2520, (CIS*2430 or ENGG*1420)"
COOP*1100,2.00 credits
COOP*1110,2.00 credits
COOP*2000,Completion of previous co-op work requirements in COOP*1000
COOP*2020,Completion of previous co-op work requirements in COOP*1010
COOP*3000,Completion of previous co-op work requirements in COOP*2000
COOP*3030,Completion of previous co-op work requirements in COOP*2020
COOP*4000,Completion of previous co-op work requirements in COOP*3000
COOP*4040,Completion of previous co-op work requirements in COOP*3030
COOP*5000,Completion of previous co-op work requirements in COOP*4000
COOP*G2,COOP*G1
CRWR*2000,2.00 credits
CRWR*3100,1 of CRWR*2100
CRWR*4700,0.50 credits in CRWR at the 3000 level
CROP*3340,1 of AGR*2050
CROP*4220,"(1 of CROP*3300, CROP*3310, CROP*3340)"
CROP*4220,"(1 of AGR*2320, ENVS*3080, ENVS*4090, ENVS*4160)"
CROP*4260,12.50 credits including AGR*2470
CTS*2010,2.00 credits or CTS*1000
CTS*4000,10.00 credits or 1.50 credits in CTS
CTS*4010,and CTS*3000
CTS*4020,Take CTS*4010
CTS*4030,"10.00 credits including CTS*2000, CTS*2010"
ECS*2080,2.00 credits
ECS*2110,4.00 credits
ECS*3030,(ECS*2070 orECS* 3010)
ECS*3050,10.00 credits
ECS*3070,2.00 credits
ECS*3080,10.00 credits
ECS*3110,7.50 credits
ECS*3120,10.00 credits
ECS*3150,10.00 credits
ECS*3160,10.00 credits
ECS*3170,10.00 credits
ECON*2310,"(1 of IPS*1500, MATH*1030, MATH*1080, MATH*1200)"
ECON*2410,"(1 of IPS*1500, MATH*1030, MATH*1080, MATH*1200)"
ECON*2650,ECON*1100 (ECON*1050 or FARE*1040)
ECON*2740,"(ECON*1050, or FARE*1040)"
ECON*2740,"(1 of MATH*1000, MATH*1030, MATH*1050, MATH*1080, MATH*1200)"
ECON*2770,"(ECON*1050, or FARE*1040)"
ECON*2770,"(1 of MATH*1030, MATH*1080, MATH*1200)"
ECON*2900,8.00 credits
ECON*3300,"(1 of ECON*2740, PSYC*2010, STAT*2040, STAT*2050, STAT*2060, STAT*2080, STAT*2090, STAT*2100, STAT*2120)"
ECON*3520,"(1 of ECON*2740, PSYC*2010, STAT*2040, STAT*2050, STAT*2060, STAT*2080, STAT*2090, STAT*2100, STAT*2120)"
ECON*3710,"ECON*2310, (ECON*2770 or MATH*1210). A grade average of 70% or more in these courses is recommended"
ECON*3730,"9.00 credits including ECON*1050, ECON*1100"
ECON*3740,"(1 of ECON*2740, STAT*2040, STAT*2060, STAT*2080)"
ECON*4400,ECON*2310 Students must have completed a minimum of 12 credits
ECON*4720,"12.50 credits including (1 of ECON*2310, ECON*2720, ECON*3720, ECON*3730)"
ENGG*2100,Completion of 4.00 credits including ENGG*1100
ENGG*2130,4.00 credits
ENGG*2160,"ENGG*1210, ENGG*1500, 0.50 credits in calculus"
ENGG*2410,"(1 of CIS*1300, CIS*1500, ENGG*1410)"
ENGG*2540,5.00 credits
ENGG*3000,11.00 credits
ENGG*3100,Completion of 6.00 credits of ENGG courses including ENGG*2100
ENGL*2040,2.00 credits
ENGL*2090,2.00 credits
ENGL*2190,2.00 credits
ENGL*2200,2.00 credits
ENGL*2260,2.00 credits
ENGL*2270,2.00 credits
ENGL*2280,2.00 credits
ENGL*2290,2.00 credits
ENGL*2310,2.00 credits
ENGL*2330,2.00 credits
ENGL*2360,2.00 credits
ENGL*2370,2.00 credits
ENGL*2380,4.00 credits
ENGL*2550,2.00 credits
ENGL*2640,2.00 credits
ENGL*2740,2.00 credits
ENGL*2880,2.00 credits
ENGL*3000,"(1 of ENGL*2120, ENGL*2130, ENGL*2920)"
ENGL*3100,7.50 credits including 0.50 credits in English (excluding ENGL*1030)
ENGL*3200,7.50 credits including 0.50 credits in English (excluding ENGL*1030)
ENGL*3220,7.50 credits including 0.50 credits in English (excluding ENGL*1030)
ENGL*3240,7.50 credits including 0.50 credits in English (excluding ENGL*1030)
EDRD*3140,5.00 credits
EDRD*4120,14.00 credits
DENM*3150,1 of DAGR*1300
DENM*3910,5.00 credits
DENM*4050,8.00 credits
DENM*4210,Minimum of 8.0 credits
DENM*4400,9.00 credits
ENVS*2030,1 of IPS*1500
ENVS*2040,"(2 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090)"
ENVS*2130,4.00 credits
ENVS*2230,1 of ENVM*1000
ENVS*2250,1 of ENVS*1050
ENVS*2270,Minimum of 4.00 credits
ENVS*2330,1 of BIOL*1050
ENVS*2700,4.00 credits
ENVS*2710,4.00 credits
ENVS*3020,"[BIOL*1040 or (2 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090)]"
ENVS*3040,"(2 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090)"
ENVS*3080,1 of AGR*2320
ENVS*3090,"(2 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090)"
EQN*2000,4.00 credits
EQN*4400,12.50 credits including EQN*2200
EQN*4500,15.00 credits
DEQN*4320,"8.00 credits, including DAGR*1070"
DEQN*4500,9.00 credits
EURO*2200,2.00 credits
EURO*3100,7.50 credits
EURO*3300,7.50 credits
EURO*3400,7.50 credits including CLAS*2000
EURO*3700,10.00 credits including 1.50 credits in European Studies
EURO*4050,10.00 credits
EURO*4060,10.00 credits
EURO*4220,14.00 credits
EURO*4600,"10.00 credits, (2 of ARTH*1520, EURO*1050, EURO*1100, EURO*1200, EURO*2200, EURO*2300, EURO*3000, EURO*3300, HIST*2510, HIST*3090, MUSC*1060, POLS*3450)"
EURO*4740,"10.00 credits including, (EURO*1100 or EURO*1200), EURO*2200, EURO*3000, EURO*3300"
FCSS*2000,4.00 credits or FCSS*1020
FCSS*2010,3.00 credits including FCSS*1010
FCSS*2020,3.00 credits from FCSS or CSS including FCSS*1020
FCSS*2030,1.00 credits
FCSS*3020,7.50 credits
FCSS*3060,7.50 credits
FCSS*4010,12.50 credits
FRHD*2060,1 of ANTH*1150
FRHD*2100,4.00 credits
FRHD*2110,4.00 credits
FRHD*2270,1 of ANTH*1150
FRHD*2280,1 of ANTH*1150
FRHD*2400,"4.00 credits including (1 of FRHD*1010, FRHD*2060, FRHD*2270, FRHD*2280, PSYC*2450)"
FRHD*3040,"8.00 credits including (1 of FRHD*1020, FRHD*2060, FRHD*2260, FRHD*2270, FRHD*2280, PSYC*2450)"
FRHD*3060,"8.00 credits including (1 of ANTH*1150, FRHD*1010, FRHD*1020, FRHD*1100, PSYC*1000, SOC*1100)"
FRHD*3070,4.00 credits
FRHD*3090,"8.00 credits including (1 of FRHD*1010, FRHD*2060, FRHD*2260, FRHD*2270, FRHD*2280, PSYC*2450)"
FRHD*3180,1 of FRHD*2040
FRHD*3190,"8.00 credits including (1 of FRHD*1010, FRHD*2260, FRHD*2270, PSYC*2450)"
FRHD*3400,"4.00 credits including (1 OF ANTH*1150, FRHD*1010, FRHD*1020, FRHD*1100, PSYC*1000, SOC*1100)"
FRHD*4020,12.00 credits including FRHD*1020
FRHD*4140,14.00 credits
FRHD*4190,12.00 credits
FRHD*4200,13.00 credits including FRHD*2100
FRHD*4250,"13.00 credits including (1 of BIOM*2000, BIOM*3200, FRHD*2060)"
FRHD*4320,"13.00 credits including (1 of FRHD*2040, FRHD*2300, FRHD*2350, FRHD*2400, POLS*2230)"
FRAN*6720,FRAN*6710 - Minimum grade 065
FIN*2000,"(1 of IPS*1500, MATH*1030, MATH*1080, MATH*1200)"
FIN*2000,"(1 of ECON*2740, PSYC*1010, PSYC*2010, SOAN*2120, STAT*2040, STAT*2060, STAT*2080, STAT*2120)"
FIN*2900,8.00 credits
FIN*4000,"(1 of ECON*3100, ECON*3810, ECON*4700)"
FIN*4000,"(2 of ECON*3360, ECON*3660, ECON*3760, ECON*3860, ECON*3960, FARE*4240, FIN*3000, FIN*3100, FIN*3200, FIN*3300, FIN*3400, FIN*3500)"
FOOD*2410,"(1 of BIOL*1070, BIOL*1080, MICR*2420)"
FOOD*2620,"(1 of MATH*1030, MATH*1080, MATH*1200)"
FOOD*3090,"CHEM*1040 (1 of BIOL*1050, BIOL*1070, BIOL*1080)"
FOOD*3700,"(1 of STAT*2040, STAT*2060, STAT*2080)"
FOOD*4070,7.00 credits in science or engineering
FOOD*4110,1 of ANSC*2340
FOOD*4190,1 of CHEM*2400
FOOD*4220,14.00 credits including 1.50 credits at the 3000 level or higher in Food Science
FARE*2700,1 of ECON*1050
FARE*3000,"9.50 credits including (1 of ECON*1050, FARE*1040, FARE*1400), (1 of ECON*2740, STAT*2040, STAT*2060)"
FARE*3170,1 of ECON*2100
FARE*3250,1 of ECON*1050
FARE*3310,"(1 of ECON*2740, PSYC*1010, STAT*2040, STAT*2060, STAT*2080, STAT*2120)"
FARE*4000,15.00 credits including ECON*2310
FARE*4220,1 of FARE*2410
